ID	xref	prefLabel
ID	A OboInOwl:hasDbXref	A skos:prefLabel
https://purl.brain-bican.org/ontology/mbao/ABA_ENTITY		ABA entity
https://purl.brain-bican.org/ontology/mbao/MBA_1	http://atlas.brain-map.org/atlas?atlas=602630314#structure=1	Tuberomammillary nucleus, ventral part  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1	http://atlas.brain-map.org/atlas?atlas=1#structure=1	Tuberomammillary nucleus, ventral part  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1	http://atlas.brain-map.org/atlas?atlas=2#structure=1	Tuberomammillary nucleus, ventral part  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_10	http://atlas.brain-map.org/atlas?atlas=602630314#structure=10	Superior colliculus, motor related, intermediate gray layer  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_10	http://atlas.brain-map.org/atlas?atlas=1#structure=10	Superior colliculus, motor related, intermediate gray layer  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_10	http://atlas.brain-map.org/atlas?atlas=2#structure=10	Superior colliculus, motor related, intermediate gray layer  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_100	http://atlas.brain-map.org/atlas?atlas=602630314#structure=100	Interpeduncular nucleus  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_100	http://atlas.brain-map.org/atlas?atlas=1#structure=100	Interpeduncular nucleus  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_100	http://atlas.brain-map.org/atlas?atlas=2#structure=100	Interpeduncular nucleus  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1000	http://atlas.brain-map.org/atlas?atlas=602630314#structure=1000	extrapyramidal fiber systems  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1000	http://atlas.brain-map.org/atlas?atlas=1#structure=1000	extrapyramidal fiber systems  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1000	http://atlas.brain-map.org/atlas?atlas=2#structure=1000	extrapyramidal fiber systems  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1001	http://atlas.brain-map.org/atlas?atlas=602630314#structure=1001	Lobule V  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1001	http://atlas.brain-map.org/atlas?atlas=1#structure=1001	Lobule V  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1001	http://atlas.brain-map.org/atlas?atlas=2#structure=1001	Lobule V  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1002	http://atlas.brain-map.org/atlas?atlas=602630314#structure=1002	Primary auditory area  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1002	http://atlas.brain-map.org/atlas?atlas=1#structure=1002	Primary auditory area  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1002	http://atlas.brain-map.org/atlas?atlas=2#structure=1002	Primary auditory area  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1003	http://atlas.brain-map.org/atlas?atlas=602630314#structure=1003	corticopontine tract  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1003	http://atlas.brain-map.org/atlas?atlas=1#structure=1003	corticopontine tract  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1003	http://atlas.brain-map.org/atlas?atlas=2#structure=1003	corticopontine tract  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1004	http://atlas.brain-map.org/atlas?atlas=602630314#structure=1004	Ventral premammillary nucleus  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1004	http://atlas.brain-map.org/atlas?atlas=1#structure=1004	Ventral premammillary nucleus  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1004	http://atlas.brain-map.org/atlas?atlas=2#structure=1004	Ventral premammillary nucleus  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1005	http://atlas.brain-map.org/atlas?atlas=602630314#structure=1005	Primary auditory area, layer 6b  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1005	http://atlas.brain-map.org/atlas?atlas=1#structure=1005	Primary auditory area, layer 6b  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1005	http://atlas.brain-map.org/atlas?atlas=2#structure=1005	Primary auditory area, layer 6b  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1006	http://atlas.brain-map.org/atlas?atlas=602630314#structure=1006	Primary somatosensory area, trunk, layer 1  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1006	http://atlas.brain-map.org/atlas?atlas=1#structure=1006	Primary somatosensory area, trunk, layer 1  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1006	http://atlas.brain-map.org/atlas?atlas=2#structure=1006	Primary somatosensory area, trunk, layer 1  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1007	http://atlas.brain-map.org/atlas?atlas=602630314#structure=1007	Simple lobule  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1007	http://atlas.brain-map.org/atlas?atlas=1#structure=1007	Simple lobule  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1007	http://atlas.brain-map.org/atlas?atlas=2#structure=1007	Simple lobule  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1008	http://atlas.brain-map.org/atlas?atlas=602630314#structure=1008	Geniculate group, dorsal thalamus  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1008	http://atlas.brain-map.org/atlas?atlas=1#structure=1008	Geniculate group, dorsal thalamus  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1008	http://atlas.brain-map.org/atlas?atlas=2#structure=1008	Geniculate group, dorsal thalamus  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1009	http://atlas.brain-map.org/atlas?atlas=602630314#structure=1009	fiber tracts  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1009	http://atlas.brain-map.org/atlas?atlas=1#structure=1009	fiber tracts  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1009	http://atlas.brain-map.org/atlas?atlas=2#structure=1009	fiber tracts  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_101	http://atlas.brain-map.org/atlas?atlas=602630314#structure=101	Ventral cochlear nucleus  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_101	http://atlas.brain-map.org/atlas?atlas=1#structure=101	Ventral cochlear nucleus  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_101	http://atlas.brain-map.org/atlas?atlas=2#structure=101	Ventral cochlear nucleus  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1010	http://atlas.brain-map.org/atlas?atlas=602630314#structure=1010	Visceral area, layer 4  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1010	http://atlas.brain-map.org/atlas?atlas=1#structure=1010	Visceral area, layer 4  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1010	http://atlas.brain-map.org/atlas?atlas=2#structure=1010	Visceral area, layer 4  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1011	http://atlas.brain-map.org/atlas?atlas=602630314#structure=1011	Dorsal auditory area  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1011	http://atlas.brain-map.org/atlas?atlas=1#structure=1011	Dorsal auditory area  ( mouse )
https://purl.brain-bican.org/ontology/mbao/MBA_1011	http://atlas.brain-map.org/atlas?atlas=2#structure=1011	Dorsal auditory area  ( mouse )
